dt_s,dx_m,n_cells,n_steps,tau_fitted_s,fit_rmse_norm,tau_pred_s,tau_pred_bot_s,tau_pred_SPP_s,tau_pred_PPL_s,tau_pred_PPL_outlet_s,e_pred,e_bot,e_SPP,Pi,Pi_bot,G_mix_pred,G_mix,G_P,height_m,area_m2,temperature_C,K_s_mol_m3_Pa,D_l_m2_s,Bo,nozzle_flow_cm3_s,h_l0_m_s,a_0_1_m,eps_g0,eps_gH,u_g0_m_s,d_b0_m,P_top_Pa,E_l_m2_s,E_g_m2_s,sample_id,k_s_scale,p_top_scale,e_l_scale
2831.89028058077,0.01660714285714286,56,200,283574.27276278473,1.3138147993099148e-07,283189.02805807703,180571.35659709212,178485.31579292967,179738.52651015963,176027.93961883278,0.0013603800519725413,0.5704277694248178,0.5887820883359075,1.0070213659407359,1.0161018080746604,0.028226340034082545,0.028187993649816206,0.042335456425112286,0.93,0.13,550.0,0.0012499712586772282,2.010668403011028e-09,137106.63069765546,1.4089786857870443,1.9252937794468496e-05,0.28758427524273733,0.00020489955890057288,0.00021357167084909206,4.335319033190906e-05,0.004274911597185752,433395.2843890075,0.00010820190453017205,1.435173904346435e-06,20,2.6316311313488456,3.5643990820709557,0.011447257782641567
663.4300251408939,0.00830357142857143,112,200,66723.18096685999,5.868660857101281e-05,66343.00251408938,70438.7405159432,66097.94040457196,489.51999041972573,434.06193420139726,0.005730498143943137,-0.05274880728797559,0.009459304759892108,0.007405979481712654,0.00777267539304301,30.89552446539474,30.71948650499498,0.261478930970509,0.93,0.13,550.0,1.9047022222307076e-05,2.010668403011028e-09,33898.65987044792,7.190587700153254,1.9532544285298274e-05,0.7262222239389865,0.0008287374267790529,0.00104521094673976,0.00022124885231240786,0.006846973828071771,70170.04050383465,4.219638075300302e-07,7.324272487777111e-06,21,0.04010071134976389,0.5771037133303286,2.7376868567030026e-05
189.68193021486672,0.01660714285714286,56,201,18963.254500443774,7.591515117144904e-08,18968.193021486673,28669.422384959456,18635.972393294054,660.5392777029298,186.5732649107421,-0.0002603580128747559,-0.33855470662037923,0.01756184760541333,0.035444315100006125,0.04657797537534077,0.003009892773013819,0.0030106766267977802,6.192616616315594,0.93,0.13,550.0,0.0001934943125800758,2.010668403011028e-09,7869.435449545016,29.867231623861663,1.6766632553361143e-05,2.0729176473949784,0.0035698987980030505,0.02543343569868673,0.0009189917422726666,0.01033296851659105,2962.881171871489,0.015149172558965737,3.0422512316212217e-05,22,0.40737389215135617,0.024367803041956487,0.6411627844479794
2154.0128055158443,0.01660714285714286,56,201,216454.13797776858,1.1296727713960722e-06,215401.28055158444,213850.69972812504,212025.4125716961,6716.278229847021,6614.014423217773,0.0048878884261414745,0.012174092733637879,0.020887710356771096,0.031676760574989665,0.0318874187714788,7.324259951226887,7.288633921837953,0.031019151865562707,0.93,0.13,550.0,3.4410514109727735e-05,2.010668403011028e-09,175002.20763967978,1.0436884432749232,1.9027123587665678e-05,0.24572336976219808,0.00016052990720057385,0.00016550830374441547,3.211349056230533e-05,0.003919771424816338,591505.1209852668,5.482187265456286e-07,1.063092318688571e-06,23,0.07244628990326396,4.864751385683583,6.346298404461692e-05
26657.575506855268,0.0035094339622641513,265,201,1801224.476272315,0.015387298866665079,2665757.550685527,203834.6202814163,201938.8577543304,2665752.621331226,2621504.9848143244,-0.3243104663403798,7.836695522014488,7.919652692418428,13.200790828351911,13.296492698183169,5.941777558467263,8.793650430377161,0.03387128055606192,0.93,0.13,550.0,0.014893031785923022,2.010668403011028e-09,163315.54919468772,1.1365088787180964,1.9093188079898415e-05,0.25690282983295215,0.00017201722855429832,0.00017784229551021813,3.4969503960556815e-05,0.004017485412663232,541697.4757340902,5.460455346371328e-08,1.1576384378611993e-06,24,31.355093819899952,4.45511535269422,6.161619771473749e-06
271693.6653521464,0.0014351851851851852,648,201,27272980.469160978,1.9670116349629678e-08,27169366.535214636,839890.781193625,839299.1932061013,27169366.535214398,27135381.656309422,0.0038136308335362055,31.472055986138486,31.494944222427876,32.37149130505907,32.38917345182014,2.9316890153747752e-05,2.9205511116046414e-05,0.0025055200640879227,0.93,0.13,550.0,0.011401770506134633,2.010668403011028e-09,1185429.5333718786,0.08669994070505053,1.599090698173643e-05,0.0744549877106083,2.3698657205194104e-05,2.3758032470906476e-05,2.6676904832323244e-06,0.0019097705553835613,7323025.442935017,0.0010858466218029758,8.83118344254913e-08,25,24.00475531588766,60.227201603215875,0.2651555544937471
227.09609416420813,0.004325581395348837,215,200,23424.777007781857,0.003139604723659184,22709.60941642081,30080.359917287748,20830.000060051625,3652.5285759969715,1361.5722710885182,0.031491849033912646,-0.22126008225323135,0.12456922420785634,0.17534942705074189,0.22349132539272984,115.46168791476964,111.9365974853899,3.9523077543288068,0.93,0.13,550.0,0.0009027169627229436,2.010668403011028e-09,8507.010356621407,27.685400927668955,1.6904832930439145e-05,1.9600607173551594,0.0033023455920007405,0.016251184909845732,0.0008518584900821217,0.010108908043798201,4642.347792123267,3.2985139884245605e-07,2.8200117818364532e-05,26,1.9005381487029966,0.03818034206861804,1.4281734980393745e-05
16362.161167139862,0.003286219081272085,283,201,1163351.802479849,0.010128992058765572,1636216.1167139863,118662.4515796846,115752.78105682007,1636214.9284773488,1563982.7729743174,-0.28899868996755207,8.803874662901526,9.05031405602937,14.13542649721887,14.408040454362737,3.695553717985848,5.197674977303761,0.09319328461898134,0.93,0.13,550.0,0.02445106334613349,2.010668403011028e-09,74571.9568876578,2.957299785704486,1.9739237256509783e-05,0.42676881403682804,0.0003767245667780372,0.00041181562106764035,9.099383956013803e-05,0.0052964212152417645,196881.00115920702,1.430361168828364e-07,3.0122808262366187e-06,27,51.478127236590524,1.619220340153031,1.211476490245918e-05
24246.98038426206,0.0034831460674157304,267,200,2390410.3275527456,1.5132272171895728e-07,2424698.038426206,183821.98556335244,181765.11175703345,2424694.136360277,2376220.689540746,-0.014141023059397307,12.003941395948605,12.151095413447779,13.33971141613458,13.456193100848012,0.014545470451854189,0.014754108642387036,0.04096413121541338,0.93,0.13,550.0,0.016326856986286175,2.010668403011028e-09,140687.46796707204,1.3651352205653544,1.9230032876247772e-05,0.28283671855017534,0.00019968436818316003,0.0002078620503380102,4.200416063278014e-05,0.004236034894056429,447903.73023207835,2.4523387668198885e-05,1.3905153173876542e-06,28,34.373802456593914,3.683721771791088,0.002619181815449466
585.8892590988651,0.00808695652173913,115,200,58883.192856905225,8.975960260211468e-05,58588.9259098865,61788.66316406827,57033.795225730224,3082.496192182203,2642.737187748674,0.005022569409641099,-0.04702270867146144,0.032426346937905755,0.054046836265799925,0.05741718424621108,32.90183406124557,32.73740815648787,0.34266475796693885,0.93,0.13,550.0,0.0001519939691780577,2.010668403011028e-09,27394.108664344065,8.853388849360083,1.9105590060855006e-05,0.8462236165250268,0.0010255156864752849,0.0013764809063045484,0.0002724119645956949,0.007271238947595282,53545.00791374134,4.4867332803450284e-07,9.017987830338077e-06,29,0.3200010066547785,0.44037345105470305,2.7348611132703115e-05
