dt_s,dx_m,n_cells,n_steps,tau_fitted_s,fit_rmse_norm,tau_pred_s,tau_pred_bot_s,tau_pred_SPP_s,tau_pred_PPL_s,tau_pred_PPL_outlet_s,e_pred,e_bot,e_SPP,Pi,Pi_bot,G_mix_pred,G_mix,G_P,height_m,area_m2,temperature_C,K_s_mol_m3_Pa,D_l_m2_s,Bo,nozzle_flow_cm3_s,h_l0_m_s,a_0_1_m,eps_g0,eps_gH,u_g0_m_s,d_b0_m,P_top_Pa,E_l_m2_s,E_g_m2_s,sample_id,design_role,base_index,var_index,scenario,temperature_K,gas_flow_sccm,top_pressure_atm,nozzle_diameter_mm,t_extract_50_s,t_extract_90_s,t_extract_99_s,tau_fitted_2tau_s,fit_rmse_norm_2tau,tau_fit_nodisc_s,K_s_correlation,D_l_correlation,kanai_in_range,solve_time_s
1519.1283108376072,0.0465,20,250,76712.61475227284,5.550524541684463e-10,75956.41554188036,78166.08767126028,75917.32140298426,78.17486120355478,74.1133221520236,0.0099556990018247,-0.0185946740113211,0.0104757825301422,0.0010297368210422,0.0010531135695719,0.0013412321042019,0.0013280108281259,0.1107715458119185,0.93,0.13,616.2497853860259,3.628324236585558e-07,1.0070844089648182e-08,207669.09771828385,0.9850341018509589,6.653784847476867e-05,0.1922445852663818,0.0001352781345946,0.000150252522121,3.030874159541412e-05,0.0042220632973537,163325.3548263805,0.0084898006967901,1.0033474971114596e-06,10,A,10,-1,optimistic,889.3997853860259,129.9228302979405,1.6118959272280335,3.754477202892304,53173.16804786655,176640.32894987136,353278.3660353878,76712.61473365902,8.70301534288838e-10,75953.05059685404,K_s_malinauskas,D_l_fukada,False,26.974740505218502
1666.0876328445906,0.0465,20,251,84134.32978645268,3.32123590474015e-11,83304.38164222953,86313.17040401092,83301.6290148555,5.505194110699184,5.157434600521311,0.0099628390231327,-0.0252434316496499,0.00999621233636,6.608747242766911e-05,6.791150001120985e-05,0.0007453730352401,0.0007380202582117,0.1365836271004271,0.93,0.13,461.1722471192479,1.6309146202873397e-07,2.4150837018132294e-09,42015.35399243091,5.131065172654382,1.7414915016238586e-05,0.6648307343935439,0.0006686386161914,0.0007599047012054,0.0001578789283893,0.0060343655754849,136850.08067060262,0.0139291422791546,5.22646006754953e-06,11,A,11,-1,optimistic,734.3222471192479,702.7812548571051,1.3506052866578102,1.6384792141616344,58317.5170918283,193729.75677414925,387456.9842705253,84134.32978523137,5.207585268562069e-11,83301.28597003038,K_s_malinauskas,D_l_fukada,True,26.660412788391117
2435.551975069005,0.0465,20,251,122990.3997604022,8.686087950208623e-11,121777.59875345023,127084.02528643393,121764.3702715878,26.45600569940515,24.44046504082614,0.0099591469972024,-0.0322119598966519,0.0100688689645405,0.0002172721432418,0.0002245078332889,0.0007597844229247,0.0007522922339816,0.1675593220951944,0.93,0.13,495.8058912307024,2.0051023816680427e-07,3.4923701761693406e-09,127041.12805520029,1.3577504873055573,2.3575849864723525e-05,0.3336918753571897,0.0002211338058969,0.0002581430947469,4.177693807094023e-05,0.0039761316752519,110752.14019648264,0.0093477718792489,1.3829932898566985e-06,12,A,12,-1,optimistic,768.9558912307024,147.63947512904903,1.093038639985025,1.304483207874,85250.50940007219,283200.6851581434,566397.6843532564,122990.3997557315,1.361944473344194e-10,121772.6237728677,K_s_malinauskas,D_l_fukada,False,26.462491273880005
484.18760947797705,0.0465,20,251,24450.524794165467,8.447661493148687e-10,24209.38047389885,24839.796984078468,24202.448709986795,13.86220453711536,13.221850961076274,0.0099607803068981,-0.0156713112495449,0.0102500406942834,0.000572760413759,0.0005843179258412,0.0024654470748793,0.0024411315003045,0.0977547564615783,0.93,0.13,625.1036927103996,3.766298603962281e-07,1.0764897706503942e-08,40378.42864628957,5.853488100861712,6.685194352100085e-05,0.6017770998930299,0.0006957449582395,0.0007637315780781,0.0001801073261803,0.0069369036312276,184723.1274287682,0.0144906056347622,5.9623140197230856e-06,13,A,13,-1,optimistic,898.2536927103996,854.4668128727963,1.8230755235999825,3.3032940765842795,16947.82434434317,56300.37308456637,112600.01271231052,24450.52478512481,1.3245439969451028e-09,24208.43098942648,K_s_malinauskas,D_l_fukada,True,26.63893866539001
1112.8116689228566,0.0465,20,250,56194.62520896042,4.5268459866613264e-10,55640.58344614283,57536.74473777859,55623.06232780393,35.03855804617093,32.92880195316173,0.0099575117387809,-0.0233263027815498,0.0102756456986868,0.0006299286047876,0.0006465028398601,0.0015163939590312,0.0015014433195517,0.1297217139241331,0.93,0.13,586.3537738099694,3.1805970248672097e-07,7.960266071511056e-09,113329.00254017234,1.8464329275130853,5.351651882872974e-05,0.3246827285112726,0.0002478896621571,0.0002800215878016,5.681332084655648e-05,0.0045808964947497,140357.44750485756,0.0102509042307245,1.8807611360086195e-06,14,A,14,-1,optimistic,859.5037738099694,220.26503227380283,1.385220305994153,1.8790820967406037,38951.172753517,129395.10924851763,258788.5369992653,56194.62519783712,7.09790657993865e-10,55638.219374498985,K_s_malinauskas,D_l_fukada,False,26.93071961402893
1424.5701816747626,0.0465,20,250,71938.11175045895,1.5013134847626594e-10,71228.50908373813,73307.36035802284,71218.65241028678,19.712437543114504,18.69874691061357,0.0099623405831307,-0.0186781873044762,0.0101021195406422,0.000276787567245,0.0002830061774397,0.0010796333976177,0.0010689838167573,0.1095534143863666,0.93,0.13,540.6500024721026,2.552375457740291e-07,5.37374960869701e-09,86839.0190102462,2.515235905194673,3.72066854329537e-05,0.3665142928806071,0.0003235076636342,0.0003589286613371,7.739187400598994e-05,0.0052959625845688,167809.860878787,0.011246975068515,2.56199825506528e-06,15,A,15,-1,optimistic,813.8000024721026,372.1170757385766,1.6561545608565211,2.763140613213181,49863.73624889774,165646.44762408297,331290.7336511973,71938.11174573729,2.3540019030007766e-10,71225.82665962157,K_s_malinauskas,D_l_fukada,False,26.607953310012817
1292.2307581381156,0.0465,20,250,65254.94225136786,2.3597714922959165e-10,64611.537906905774,67262.37869751148,64599.595850921134,23.88264039013034,22.164684443655943,0.009958041014116,-0.0298448625370706,0.0101447445887911,0.000369702628562,0.0003813250333149,0.0012510071038181,0.0012386723537167,0.1573143938251593,0.93,0.13,547.9955861344934,2.648629728362405e-07,5.740976910253411e-09,95374.67446637452,2.130327754393438,3.908249769152643e-05,0.3802922936154926,0.0002945550095921,0.0003408496344469,6.554854628902887e-05,0.0046472939031995,116681.87325687612,0.0107003021899616,2.1699340321124656e-06,16,A,16,-1,optimistic,821.1455861344933,226.53425418104564,1.1515605552121997,1.5594455590471623,45231.31073292208,150257.615929262,300513.2781569848,65254.94224463443,3.700022877018291e-10,64608.8268722988,K_s_malinauskas,D_l_fukada,False,20.938485860824585
1108.5284494151192,0.0465,20,251,55978.5791583359,2.81381985869789e-10,55426.42247075596,56836.12489907956,55414.3431598148,24.15686675846609,23.068500483081653,0.0099619759487683,-0.0150880402607733,0.0101821291446846,0.0004359316628331,0.0004445117413758,0.0013675923854208,0.0013541028454423,0.0952153145645062,0.93,0.13,581.1993522569537,3.106294047585065e-07,7.631243151860461e-09,89294.0799379857,2.638968464180328,5.248334115136898e-05,0.3351331656373648,0.0003146131095342,0.0003445552249707,8.119902966708702e-05,0.0056326226430491,191432.8663256485,0.0114101768398593,2.688031204722729e-06,17,A,17,-1,optimistic,854.3493522569537,418.7623098747272,1.8892954979091885,3.8452282724902034,38801.422785912815,128897.63899943412,257793.5965848296,55978.57915144873,4.411955203449491e-10,55424.314933628346,K_s_malinauskas,D_l_fukada,False,20.936113357543945
1065.8310431731115,0.0465,20,250,53821.86425263775,8.946901355112857e-10,53291.55215865558,55150.75547269734,53259.589951085865,63.91163278821035,59.94101619046038,0.0099511474614845,-0.0240956122662265,0.0105572405282933,0.0012000023441207,0.0012325814697436,0.0017596954071961,0.0017423569561945,0.134176910267143,0.93,0.13,632.2478611022234,3.879380069704619e-07,1.1348854189952716e-08,161648.94309105552,1.298254109052687,7.482472252274712e-05,0.2422857858415722,0.0001737907320338,0.0001970900788916,3.994628027854421e-05,0.0043037786495859,134374.37259494327,0.0092229536688788,1.3223907766086377e-06,18,A,18,-1,optimistic,905.3978611022234,141.30917584932735,1.3261719476431608,2.4680067393928766,37306.49635887776,123931.52845652736,247861.45531910815,53821.864231581385,1.4028365682877571e-09,53288.9487310512,K_s_malinauskas,D_l_fukada,False,21.00076174736023
1453.4311519241132,0.0465,20,250,73395.62962424595,4.8839783254665866e-11,72671.55759620566,74907.96322727053,72668.08846148706,6.938159030996893,6.563636773305876,0.0099636233485395,-0.0201892233865199,0.0100118384584242,9.547738461118332e-05,9.772895078724085e-05,0.0008562990806632,0.0008478514085727,0.1153583198903343,0.93,0.13,490.4500529170036,1.944447276232867e-07,3.305964316900733e-09,46006.91116730911,5.093849602201036,2.3786695496860115e-05,0.5608834496266835,0.0006106275652831,0.0006810333021147,0.0001567338339138,0.0065321331804987,161048.32622918766,0.0138987566382828,5.188552598764669e-06,19,A,19,-1,optimistic,763.6000529170036,774.8250728650494,1.5894234022125602,2.877319423481822,50874.01215721278,169002.56481066463,338002.92175821133,73395.62962267837,7.657867956739939e-11,72668.9140482839,K_s_malinauskas,D_l_fukada,True,21.23696637153625
