# Pi=0.2004  tau_fitted_h=30.7967  n0_fitted_mol=3.6270e-12
t_seconds,n_T2_salt_mol
1.109888e+05,1.332847e-12
1.112662e+05,1.329515e-12
1.115437e+05,1.326192e-12
1.118212e+05,1.322877e-12
1.120987e+05,1.319571e-12
1.123761e+05,1.316272e-12
1.126536e+05,1.312982e-12
1.129311e+05,1.309700e-12
1.132085e+05,1.306426e-12
1.134860e+05,1.303161e-12
1.137635e+05,1.299904e-12
1.140410e+05,1.296654e-12
1.143184e+05,1.293413e-12
1.145959e+05,1.290180e-12
1.148734e+05,1.286955e-12
1.151508e+05,1.283738e-12
1.154283e+05,1.280530e-12
1.157058e+05,1.277329e-12
1.159833e+05,1.274136e-12
1.162607e+05,1.270951e-12
1.165382e+05,1.267774e-12
1.168157e+05,1.264605e-12
1.170932e+05,1.261444e-12
1.173706e+05,1.258291e-12
1.176481e+05,1.255146e-12
1.179256e+05,1.252009e-12
1.182030e+05,1.248879e-12
1.184805e+05,1.245758e-12
1.187580e+05,1.242644e-12
1.190355e+05,1.239538e-12
1.193129e+05,1.236439e-12
1.195904e+05,1.233349e-12
1.198679e+05,1.230266e-12
1.201453e+05,1.227191e-12
1.204228e+05,1.224123e-12
1.207003e+05,1.221063e-12
1.209778e+05,1.218011e-12
1.212552e+05,1.214967e-12
1.215327e+05,1.211930e-12
1.218102e+05,1.208900e-12
1.220876e+05,1.205879e-12
1.223651e+05,1.202865e-12
1.226426e+05,1.199858e-12
1.229201e+05,1.196859e-12
1.231975e+05,1.193867e-12
1.234750e+05,1.190883e-12
1.237525e+05,1.187906e-12
1.240299e+05,1.184937e-12
1.243074e+05,1.181975e-12
1.245849e+05,1.179021e-12
1.248624e+05,1.176073e-12
1.251398e+05,1.173134e-12
1.254173e+05,1.170201e-12
1.256948e+05,1.167276e-12
1.259723e+05,1.164359e-12
1.262497e+05,1.161448e-12
1.265272e+05,1.158545e-12
1.268047e+05,1.155649e-12
1.270821e+05,1.152761e-12
1.273596e+05,1.149879e-12
1.276371e+05,1.147005e-12
1.279146e+05,1.144138e-12
1.281920e+05,1.141278e-12
1.284695e+05,1.138425e-12
1.287470e+05,1.135580e-12
1.290244e+05,1.132741e-12
1.293019e+05,1.129910e-12
1.295794e+05,1.127086e-12
1.298569e+05,1.124268e-12
1.301343e+05,1.121458e-12
